href,aria_label,full_url,article_text,date_published
https://en.prothomalo.com//,Prothom alo,https://en.prothomalo.com//,,NA
https://en.prothomalo.com//search,Prothom alo search,https://en.prothomalo.com//search,,NA
https://en.prothomalo.com//api/auth/v1/oauth/authorize?client_id=811&response_type=code&redirect_uri=/api/auth/v1/oauth/token&callback_uri=/,avatar icon,https://en.prothomalo.com//api/auth/v1/oauth/authorize?client_id=811&response_type=code&redirect_uri=/api/auth/v1/oauth/token&callback_uri=/,NA,NA
https://en.prothomalo.com/bangladesh,Bangladesh,https://en.prothomalo.com/bangladesh,,NA
https://en.prothomalo.com/international,International,https://en.prothomalo.com/international,,NA
https://en.prothomalo.com/sports,Sports,https://en.prothomalo.com/sports,,NA
https://en.prothomalo.com/opinion,Opinion,https://en.prothomalo.com/opinion,,NA
https://en.prothomalo.com/business,Business,https://en.prothomalo.com/business,,NA
https://en.prothomalo.com/youth,Youth,https://en.prothomalo.com/youth,,NA
https://en.prothomalo.com/entertainment,Entertainment,https://en.prothomalo.com/entertainment,,NA
https://en.prothomalo.com/lifestyle,Lifestyle,https://en.prothomalo.com/lifestyle,,NA
https://en.prothomalo.com/collection/claim-vs-fact,Claim vs Fact,https://en.prothomalo.com/collection/claim-vs-fact,,NA
https://www.prothomalo.com,Prothom alo,https://www.prothomalo.com,,NA
https://en.prothomalo.com/bangladesh/politics/8itmnjnojh,No point in repeatedly highlighting national issues abroad: Amir Khasru,https://en.prothomalo.com/bangladesh/politics/8itmnjnojh,"Bangladesh Nationalist Party standing committee member Amir Khasru Mahmud Chowdhury said on Friday there is no point in repeatedly discussing the country’s problems abroad. Discussions must take place within the country as the solution lies with the people of Bangladesh, he remarked. Amir Khasru said this while speaking as the chief guest at a discussion at the LGED auditorium in Muradpur, Chattogram, marking the 44th death anniversary of former President Ziaur Rahman this afternoon . Without taking anyone’s name in his speech, the BNP leader said, “It is better to speak within the country. Rather than speaking excessively abroad, it is more effective to speak inside the country. After all, this is Bangladesh’s problem. Talking about it abroad will not help.” According to him, “We must speak up within Bangladesh and find a solution here, right? If we keep going abroad to talk about these issues, will that solve Bangladesh’s problems? No, it won’t. The discussion has to happen here; the solution is here. The solution lies with the people of Bangladesh.” Emphasising that the people are the solution to all problems, Amir Khasru said, “At the end of the day, whether it’s reform or justice or anything else, the solution lies with the people of Bangladesh. There is no second force that can offer a solution. The only force is the people of Bangladesh.” Mentioning the wait for elections, the senior BNP leader stated that until an elected government comes to power through elections, it will not be possible to implement anything meaningful. A democratically elected government is needed in Bangladesh as soon as possible. Whether any particular party wants this or not is not a big issue. The people of Bangladesh are hoping for democracy. Asking the party leaders and activists to move past minor disagreements, Amir Khasru said that if Bangladesh is to be properly built in line with the vision of Khaleda Zia and Ziaur Rahman, party members must act with urgency and momentum. “If we lose that momentum, it will not work. We have to let go of minor internal disputes,” he added. Chattogram city BNP organised the event, which was presided over by city BNP convener Ershad Ullah and conducted by member secretary Nazimur Rahman. Professor SM Abdul Awal, vice-chancellor of Pabna University of Science and Technology, was the keynote speaker while BNP central organising secretary Mahbubur Rahman was the special guest. Earlier in the morning, defying the rain, leaders and activists of BNP and its affiliated bodies laid floral tributes at the first grave of Ziaur Rahman in Rangunia.",NA
https://en.prothomalo.com/bangladesh/politics/8itmnjnojh,Title link,https://en.prothomalo.com/bangladesh/politics/8itmnjnojh,"Bangladesh Nationalist Party standing committee member Amir Khasru Mahmud Chowdhury said on Friday there is no point in repeatedly discussing the country’s problems abroad. Discussions must take place within the country as the solution lies with the people of Bangladesh, he remarked. Amir Khasru said this while speaking as the chief guest at a discussion at the LGED auditorium in Muradpur, Chattogram, marking the 44th death anniversary of former President Ziaur Rahman this afternoon . Without taking anyone’s name in his speech, the BNP leader said, “It is better to speak within the country. Rather than speaking excessively abroad, it is more effective to speak inside the country. After all, this is Bangladesh’s problem. Talking about it abroad will not help.” According to him, “We must speak up within Bangladesh and find a solution here, right? If we keep going abroad to talk about these issues, will that solve Bangladesh’s problems? No, it won’t. The discussion has to happen here; the solution is here. The solution lies with the people of Bangladesh.” Emphasising that the people are the solution to all problems, Amir Khasru said, “At the end of the day, whether it’s reform or justice or anything else, the solution lies with the people of Bangladesh. There is no second force that can offer a solution. The only force is the people of Bangladesh.” Mentioning the wait for elections, the senior BNP leader stated that until an elected government comes to power through elections, it will not be possible to implement anything meaningful. A democratically elected government is needed in Bangladesh as soon as possible. Whether any particular party wants this or not is not a big issue. The people of Bangladesh are hoping for democracy. Asking the party leaders and activists to move past minor disagreements, Amir Khasru said that if Bangladesh is to be properly built in line with the vision of Khaleda Zia and Ziaur Rahman, party members must act with urgency and momentum. “If we lose that momentum, it will not work. We have to let go of minor internal disputes,” he added. Chattogram city BNP organised the event, which was presided over by city BNP convener Ershad Ullah and conducted by member secretary Nazimur Rahman. Professor SM Abdul Awal, vice-chancellor of Pabna University of Science and Technology, was the keynote speaker while BNP central organising secretary Mahbubur Rahman was the special guest. Earlier in the morning, defying the rain, leaders and activists of BNP and its affiliated bodies laid floral tributes at the first grave of Ziaur Rahman in Rangunia.",NA
https://en.prothomalo.com/bangladesh/politics/8itmnjnojh,BNP standing committee member Amir Khasru Mahmud Chowdhury said on Friday there is no point in repeatedly discussing the country’s problems abroad.,https://en.prothomalo.com/bangladesh/politics/8itmnjnojh,"Bangladesh Nationalist Party standing committee member Amir Khasru Mahmud Chowdhury said on Friday there is no point in repeatedly discussing the country’s problems abroad. Discussions must take place within the country as the solution lies with the people of Bangladesh, he remarked. Amir Khasru said this while speaking as the chief guest at a discussion at the LGED auditorium in Muradpur, Chattogram, marking the 44th death anniversary of former President Ziaur Rahman this afternoon . Without taking anyone’s name in his speech, the BNP leader said, “It is better to speak within the country. Rather than speaking excessively abroad, it is more effective to speak inside the country. After all, this is Bangladesh’s problem. Talking about it abroad will not help.” According to him, “We must speak up within Bangladesh and find a solution here, right? If we keep going abroad to talk about these issues, will that solve Bangladesh’s problems? No, it won’t. The discussion has to happen here; the solution is here. The solution lies with the people of Bangladesh.” Emphasising that the people are the solution to all problems, Amir Khasru said, “At the end of the day, whether it’s reform or justice or anything else, the solution lies with the people of Bangladesh. There is no second force that can offer a solution. The only force is the people of Bangladesh.” Mentioning the wait for elections, the senior BNP leader stated that until an elected government comes to power through elections, it will not be possible to implement anything meaningful. A democratically elected government is needed in Bangladesh as soon as possible. Whether any particular party wants this or not is not a big issue. The people of Bangladesh are hoping for democracy. Asking the party leaders and activists to move past minor disagreements, Amir Khasru said that if Bangladesh is to be properly built in line with the vision of Khaleda Zia and Ziaur Rahman, party members must act with urgency and momentum. “If we lose that momentum, it will not work. We have to let go of minor internal disputes,” he added. Chattogram city BNP organised the event, which was presided over by city BNP convener Ershad Ullah and conducted by member secretary Nazimur Rahman. Professor SM Abdul Awal, vice-chancellor of Pabna University of Science and Technology, was the keynote speaker while BNP central organising secretary Mahbubur Rahman was the special guest. Earlier in the morning, defying the rain, leaders and activists of BNP and its affiliated bodies laid floral tributes at the first grave of Ziaur Rahman in Rangunia.",NA
https://en.prothomalo.com/bangladesh/m809jmm6jy,Expatriates' remittance helps Bangladesh make turnaround: Chief Adviser,https://en.prothomalo.com/bangladesh/m809jmm6jy,"Recalling the contribution of Bangladeshi expatriates to nation building, Chief Adviser Professor Muhammad Yunus on Friday said the expatriates help Bangladesh make a turnaround from ruins. ""It is the expatriates who help sustain the country (by sending their remittances in hard time),"" he said while speaking at a community reception at the Bangladesh Embassy in Tokyo. Prof Yunus said the ousted government left the state exchequer and banks empty and if the expatriates would not support, Bangladesh would not have turned around.  He said the interim government will, of course, perform the responsibilities bestowed upon it but the participation of the Bangladesh expatriates should be strengthened in nation building.  The Chief Adviser asked them to take initiatives to increase business in Bangladesh.  ""As a citizen, you must take the responsibility of the state repair,"" he said. The expatriates have relatives and friends in Bangladesh and they have businesses there too and that is why they often visit the country, Prof Yunus said. ""So, overall we have to work together ... you should increase your influence on the Japan government,"" he said.  On the occasion, three exchange of notes were signed later, respectively on the Development Policy Loan for Economic Reform and Strengthening Climate Change Resilience (418 million USD), the Loan for the Joydebpur-Ishwardi dual-gauge double-lane railway project (641 million USD) and the grant for the human development scholarship (4.2 million USD). Bangladesh Ambassador to Japan Md Daud Ali and Japanese Ambassador to Bangladesh Shinichi Saida signed the agreements on behalf of the respective sides. Chief Adviser Prof Yunus witnessed the signing of the exchange of notes. Later, he joined a dinner hosted in his honour by the Bangladesh Ambassador to Japan.",NA
